"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20240601","경춘선","퇴계원","3054","2742","20240604",""
"20240601","경춘선","별내","2888","2628","20240604",""
"20240601","경춘선","갈매","2276","2010","20240604",""
"20240601","경춘선","신내","1987","1829","20240604",""
"20240601","경인선","도화","3834","3558","20240604",""
"20240601","경인선","중동","7930","7378","20240604",""
"20240601","경인선","온수(성공회대입구)","5651","5096","20240604",""
"20240601","경인선","도원","2772","2802","20240604",""
"20240601","경인선","간석","5241","4822","20240604",""
"20240601","경인선","부개","7558","6958","20240604",""
"20240601","경인선","소사","7837","7562","20240604",""
"20240601","경인선","구일","9915","10035","20240604",""
"20240601","경인선","인천","6299","5473","20240604",""
"20240601","경인선","동인천","14014","13605","20240604",""
"20240601","경인선","제물포","8558","8154","20240604",""
"20240601","경인선","주안","18233","16056","20240604",""
"20240601","경인선","동암","14705","14632","20240604",""
"20240601","경인선","백운","6763","6563","20240604",""
"20240601","경인선","부평","31292","34141","20240604",""
"20240601","경인선","송내","21390","20721","20240604",""
"20240601","경인선","부천","31673","32451","20240604",""
"20240601","3호선","종로3가","10277","13852","20240604",""
"20240601","경인선","역곡","22750","22106","20240604",""
"20240601","경인선","오류동","10558","9419","20240604",""
"20240601","경인선","개봉","19174","18318","20240604",""
"20240601","경의선","운천","6","6","20240604",""
"20240601","경의선","임진강","92","92","20240604",""
"20240601","경의선","문산","6226","5665","20240604",""
"20240601","경의선","파주","1216","945","20240604",""
"20240601","경의선","월롱","1379","1298","20240604",""
"20240601","경의선","금촌","7267","6967","20240604",""
"20240601","경의선","금릉","5002","4712","20240604",""
"20240601","경의선","운정","6893","6189","20240604",""
"20240601","경의선","야당","8488","8866","20240604",""
"20240601","경의선","탄현","6711","6362","20240604",""
"20240601","경의선","일산","9187","8588","20240604",""
"20240601","경의선","풍산","6055","5748","20240604",""
"20240601","경의선","백마","5988","5729","20240604",""
"20240601","경의선","곡산","575","591","20240604",""
"20240601","경의선","능곡","4273","4223","20240604",""
"20240601","경의선","행신","6447","6618","20240604",""
"20240601","경의선","강매","2498","2296","20240604",""
"20240601","경의선","한국항공대","1560","1469","20240604",""
"20240601","경의선","수색","2457","2426","20240604",""
"20240601","경의선","디지털미디어시티","2575","2266","20240604",""
"20240601","경의선","가좌","4798","4575","20240604",""
"20240601","경의선","홍대입구","3061","3819","20240604",""
"20240601","경의선","서강대","2168","2105","20240604",""
"20240601","경의선","공덕","3744","2806","20240604",""
"20240601","경의선","효창공원앞","2310","2556","20240604",""
"20240601","경의선","신촌","493","529","20240604",""
"20240601","경의선","서울역","2126","2191","20240604",""
"20240601","경원선","연천","1842","1835","20240604",""
"20240601","경원선","전곡","1773","1509","20240604",""
"20240601","경원선","청산","180","141","20240604",""
"20240601","경원선","소요산","3341","3265","20240604",""
"20240601","경원선","동두천","1711","1683","20240604",""
"20240601","경원선","보산","2549","2614","20240604",""
"20240601","경원선","동두천중앙","2847","2827","20240604",""
"20240601","경원선","덕정","5634","5162","20240604",""
"20240601","경원선","덕계","5215","4814","20240604",""
"20240601","경원선","양주","7311","6784","20240604",""
"20240601","경원선","녹양","3845","3520","20240604",""
"20240601","경원선","가능","5746","5491","20240604",""
"20240601","경원선","의정부","20229","21251","20240604",""
"20240601","경원선","회룡","11812","11566","20240604",""
"20240601","경원선","망월사","6673","6647","20240604",""
"20240601","경원선","도봉산","10683","7659","20240604",""
"20240601","경원선","도봉","5067","4903","20240604",""
"20240601","경원선","방학","8978","8442","20240604",""
"20240601","경원선","창동","6","0","20240604",""
"20240601","경원선","녹천","3782","3145","20240604",""
"20240601","경원선","월계","5613","5007","20240604",""
"20240601","경원선","광운대","6775","6639","20240604",""
"20240601","경원선","석계","7428","7928","20240604",""
"20240601","경원선","신이문","7417","6616","20240604",""
"20240601","경원선","외대앞","8541","7809","20240604",""
"20240601","경원선","청량리(서울시립대입구)","19551","21165","20240604",""
"20240601","경원선","왕십리(성동구청)","16889","17047","20240604",""
"20240601","경원선","응봉","1841","1610","20240604",""
"20240601","경원선","옥수","36","43","20240604",""
"20240601","경원선","한남","2847","2885","20240604",""
"20240601","경원선","서빙고","2498","2434","20240604",""
"20240601","경원선","이촌(국립중앙박물관)","4249","2956","20240604",""
"20240601","경부선","광명","3991","3586","20240604",""
"20240601","경부선","서동탄","1316","1299","20240604",""
"20240601","경부선","당정","4903","4503","20240604",""
"20240601","경부선","천안","8521","8567","20240604",""
"20240601","경부선","두정","8102","7813","20240604",""
"20240601","경부선","직산","972","959","20240604",""
"20240601","경부선","성환","4431","3977","20240604",""
"20240601","경부선","평택","16545","16066","20240604",""
"20240601","경부선","평택지제","4659","4244","20240604",""
"20240601","경부선","서정리","9455","7889","20240604",""
"20240601","경부선","송탄","5778","5166","20240604",""
"20240601","경부선","진위","1308","1156","20240604",""
"20240601","경부선","오산","11118","10387","20240604",""
"20240601","경부선","오산대","3912","3629","20240604",""
"20240601","경부선","세마","3079","2724","20240604",""
"20240601","경부선","병점","15413","15003","20240604",""
"20240601","경부선","세류","3220","3271","20240604",""
"20240601","경부선","독산","10528","10332","20240604",""
"20240601","경부선","수원","46400","50553","20240604",""
"20240601","경부선","화서","13055","13095","20240604",""
"20240601","경부선","성균관대","13193","12887","20240604",""
"20240601","경부선","의왕","7091","6738","20240604",""
"20240601","경부선","군포","4850","4433","20240604",""
"20240601","경부선","금정","23276","22883","20240604",""
"20240601","경부선","명학","6017","5806","20240604",""
"20240601","경부선","안양","20861","20243","20240604",""
"20240601","경부선","관악","6950","6654","20240604",""
"20240601","경부선","석수","7449","6836","20240604",""
"20240601","경부선","금천구청","9873","9595","20240604",""
"20240601","경부선","가산디지털단지","7512","9226","20240604",""
"20240601","경부선","구로","15044","16001","20240604",""
"20240601","경부선","신길","7282","6308","20240604",""
"20240601","경부선","영등포","47046","49269","20240604",""
"20240601","경부선","대방","7973","8548","20240604",""
"20240601","경부선","노량진","10232","9436","20240604",""
"20240601","경부선","용산","49561","53499","20240604",""
"20240601","경부선","남영","8059","8202","20240604",""
"20240601","경부선","서울역","12006","3796","20240604",""
"20240601","경강선","성남","867","869","20240604",""
"20240601","경강선","여주","3366","3727","20240604",""
"20240601","경강선","세종대왕릉","440","475","20240604",""
"20240601","경강선","부발","2501","2310","20240604",""
"20240601","경강선","이천","3507","3758","20240604",""
"20240601","경강선","신둔도예촌","1489","1447","20240604",""
"20240601","경강선","곤지암","2346","2281","20240604",""
"20240601","경강선","초월","2818","2552","20240604",""
"20240601","경강선","경기광주","6399","5937","20240604",""
"20240601","경강선","삼동","1768","1637","20240604",""
"20240601","경강선","이매","1004","833","20240604",""
"20240601","경강선","판교","4147","3738","20240604",""
"20240601","9호선2~3단계","중앙보훈병원","6797","6106","20240604",""
"20240601","9호선2~3단계","둔촌오륜","967","1016","20240604",""
"20240601","9호선2~3단계","올림픽공원(한국체대)","16287","17007","20240604",""
"20240601","9호선2~3단계","한성백제","2817","2280","20240604",""
"20240601","9호선2~3단계","송파나루","5120","5338","20240604",""
"20240601","9호선2~3단계","석촌","9216","7593","20240604",""
